die,label,method,pair_id,source,target,overlap,iterations,total_ms,cov_ms,sre,sse_sum,gt_t1,gt_t2,gt_t3,gt_t4,gt_t5,gt_t6,gt_t7,gt_t8,gt_t9,gt_t10,gt_t11,gt_t12,est_t1,est_t2,est_t3,est_t4,est_t5,est_t6,est_t7,est_t8,est_t9,est_t10,est_t11,est_t12
die_obverse_0001,local,gicp,362831326790445,L0090D.ply,L0097D.ply,1,100,92347.8,3324.71,1.00976,3540.69,0.999932,-0.00727964,0.00915846,0.46249,0.00739004,0.9999,-0.0120788,0.816508,-0.00906961,0.0121457,0.999885,-0.0755349,0.659101,0.738274,-0.14331,0.13104,-0.751617,0.653147,-0.0920393,-2.80686,0.0256523,0.168377,0.985389,0.302296
die_obverse_0001,local,icp,362831326790476,L0090D.ply,L0092D.ply,1,100,16631.7,0,0.5696,3283.46,0.980585,0.192361,-0.0380929,0.72787,-0.189803,0.979853,0.0621447,-1.27563,0.0492796,-0.053708,0.99734,0.445602,0.999896,-0.0144157,0.00101185,-0.270334,0.0144391,0.99947,-0.0291686,-1.52456,-0.000590825,0.0291801,0.999574,0.164031
die_obverse_0001,local,gicp,362831326790476,L0090D.ply,L0092D.ply,1,100,92963.9,3790.8,0.690836,3313.86,0.980585,0.192361,-0.0380929,0.72787,-0.189803,0.979853,0.0621447,-1.27563,0.0492796,-0.053708,0.99734,0.445602,0.962663,-0.267247,0.0431145,-0.343398,0.267176,0.963618,0.00750444,-1.32466,-0.0435515,0.00429493,0.999042,0.109059
die_obverse_0001,local,icp,362831326790507,L0090D.ply,L0098D.ply,1,100,16671.9,0,0.559059,2506.53,0.984458,0.17457,0.0191955,-0.441696,-0.175514,0.981794,0.0726283,-1.45564,-0.00616728,-0.0748686,0.997174,0.3034,0.999779,0.0205255,0.00446174,-0.70966,-0.0202884,0.998645,-0.047921,-1.08675,-0.0054393,0.0478199,0.998841,0.015849
die_obverse_0001,local,gicp,362831326790507,L0090D.ply,L0098D.ply,1,100,92882.1,3996.66,0.639066,2427.28,0.984458,0.17457,0.0191955,-0.441696,-0.175514,0.981794,0.0726283,-1.45564,-0.00616728,-0.0748686,0.997174,0.3034,0.877237,0.470795,-0.0938486,-0.830634,-0.478041,0.874598,-0.0809679,-1.64731,0.0439606,0.115891,0.992289,0.0284632
die_obverse_0001,local,icp,362831326790538,L0084D.ply,L0100D.ply,1,100,12957.5,0,0.252469,1886.66,0.981121,0.192478,-0.0187879,0.445263,-0.190385,0.978361,0.0810206,-1.92569,0.033976,-0.0759141,0.996535,0.398718,0.999877,0.0119372,-0.0101439,0.127146,-0.0119656,0.999925,-0.00274625,-0.0231104,0.0101103,0.00286729,0.999945,0.10575
die_obverse_0001,local,gicp,362831326790538,L0084D.ply,L0100D.ply,1,100,76578.8,3260.26,0.254485,2017.02,0.981121,0.192478,-0.0187879,0.445263,-0.190385,0.978361,0.0810206,-1.92569,0.033976,-0.0759141,0.996535,0.398718,0.999944,0.0069347,-0.00799768,0.0518932,-0.0069682,0.999967,-0.00416861,0.0841302,0.0079685,0.0042241,0.999959,0.0176762
die_obverse_0001,local,icp,362831326790569,L0084D.ply,L0090D.ply,1,100,12950.7,0,0.229971,1166.13,0.994805,-0.0961946,0.0333143,0.356167,0.0957774,0.995306,0.0139029,0.953389,-0.0344953,-0.0106399,0.999348,-0.129143,0.999993,0.00364829,-0.000614187,0.180694,-0.00365361,0.999954,-0.00889457,0.0513404,0.000581708,0.00889675,0.99996,0.10935
die_obverse_0001,local,gicp,362831326790569,L0084D.ply,L0090D.ply,1,100,76577.8,3839.18,0.228996,1298.45,0.994805,-0.0961946,0.0333143,0.356167,0.0957774,0.995306,0.0139029,0.953389,-0.0344953,-0.0106399,0.999348,-0.129143,0.999999,0.000523498,-0.00114724,0.131682,-0.000530704,0.99998,-0.00628954,0.0585233,0.00114392,0.00629014,0.99998,0.0326603
die_obverse_0001,local,icp,362831326790600,L0084D.ply,L0093D.ply,1,100,14141.8,0,0.444833,3220.55,0.942703,0.333616,0.00323284,-0.106253,-0.332665,0.940666,-0.0669464,0.388801,-0.0253754,0.0620352,0.997751,-0.193347,0.999838,0.0179749,-0.000585016,-0.889606,-0.0179622,0.999691,0.0171587,-0.901427,0.000893261,-0.0171454,0.999853,0.0899278
